iter	Passed	Remaining
1686	1086	11789
1687	1086	11789
1688	1087	11790
1689	1088	11791
1690	1089	11791
1691	1089	11791
1692	1090	11792
1693	1091	11793
1694	1092	11793
1695	1092	11792
1696	1093	11791
1697	1093	11790
1698	1094	11788
1699	1094	11787
1700	1095	11785
1701	1096	11785
1702	1097	11787
1703	1097	11786
1704	1098	11785
1705	1099	11785
1706	1099	11784
1707	1100	11783
1708	1100	11783
1709	1101	11780
1710	1102	11780
1711	1102	11779
1712	1103	11778
1713	1104	11778
1714	1104	11778
1715	1105	11777
1716	1106	11777
1717	1106	11775
1718	1107	11775
1719	1107	11775
1720	1108	11774
1721	1109	11772
1722	1109	11769
1723	1110	11769
1724	1110	11768
1725	1111	11768
1726	1112	11767
1727	1112	11767
1728	1113	11766
1729	1114	11765
1730	1114	11764
1731	1115	11764
1732	1115	11763
1733	1116	11763
1734	1117	11762
1735	1117	11762
1736	1118	11761
1737	1119	11761
1738	1120	11761
1739	1120	11760
1740	1121	11760
1741	1122	11760
1742	1122	11760
1743	1123	11760
1744	1124	11761
1745	1124	11761
1746	1125	11760
1747	1126	11760
1748	1126	11758
1749	1127	11757
1750	1128	11757
1751	1128	11756
1752	1129	11756
1753	1130	11755
1754	1130	11754
1755	1131	11754
1756	1132	11754
1757	1132	11753
1758	1133	11752
1759	1134	11752
1760	1134	11751
1761	1135	11750
1762	1135	11750
1763	1136	11751
1764	1137	11750
1765	1138	11750
1766	1138	11749
1767	1139	11748
1768	1139	11745
1769	1140	11744
1770	1141	11745
1771	1141	11744
1772	1142	11743
1773	1142	11743
1774	1143	11742
1775	1144	11740
1776	1144	11740
1777	1145	11739
1778	1146	11738
1779	1146	11738
1780	1147	11737
1781	1148	11737
1782	1148	11737
1783	1149	11736
1784	1150	11735
1785	1150	11734
1786	1151	11733
1787	1152	11734
1788	1152	11733
1789	1153	11733
1790	1154	11734
1791	1154	11734
1792	1155	11734
1793	1156	11735
1794	1157	11735
1795	1157	11734
1796	1158	11734
1797	1159	11734
1798	1159	11733
1799	1160	11733
1800	1161	11732
1801	1161	11732
1802	1162	11731
1803	1163	11731
1804	1163	11731
1805	1164	11731
1806	1165	11731
1807	1165	11729
1808	1166	11729
1809	1167	11728
1810	1167	11727
1811	1168	11726
1812	1168	11725
1813	1169	11724
1814	1170	11724
1815	1170	11724
1816	1171	11724
1817	1172	11724
1818	1172	11723
1819	1173	11723
1820	1174	11723
1821	1174	11722
1822	1175	11722
1823	1176	11721
1824	1177	11721
1825	1177	11720
1826	1178	11720
1827	1178	11720
